datetime,open,high,low,close,volume
2022-11-04,1065.09558,1072.11951,1060.51392,1071.84265,0
2022-11-03,1029.66333,1040.41785,1029.06152,1036.02197,0
2022-11-02,1038.80786,1048.91821,1036.94531,1047.75195,0
2022-11-01,1041.94727,1043.22156,1033.35706,1038.76599,0
2022-10-31,1024.39014,1033.1488,1022.57727,1028.38855,0
2022-10-28,1024.30652,1029.45752,1018.27551,1025.06604,0
2022-10-27,1040.82031,1043.14954,1034.77185,1037.32898,0
2022-10-26,1039.26147,1039.54346,1038.729,1038.729,0
2022-10-25,1019.677,1026.24634,1018.23462,1025.255,0
2022-10-24,1018.81842,1024.77405,1016.97467,1018.565,0
2022-10-21,1009.80042,1022.5802,1008.73322,1020.32898,0
2022-10-20,1020.20697,1025.78345,1016.35553,1017.62299,0
2022-10-19,1006.24261,1013.64172,1004.86578,1011.953,0
2022-10-18,1020.00873,1023.27899,1007.07019,1012.14697,0
2022-10-17,1030.54565,1034.27979,1023.26678,1024.57104,0
2022-10-14,1038.60803,1041.58411,1024.77161,1026.92957,0
2022-10-13,1027.40332,1048.34277,1025.53699,1045.79028,0
2022-10-12,1037.26892,1039.81433,1032.85742,1037.12695,0
2022-10-11,1042.59497,1045.75415,1036.74438,1043.89795,0
2022-10-10,1061.73816,1066.46533,1049.77478,1051.27197,0
2022-10-07,1049.67334,1062.20325,1048.79504,1059.66699,0
2022-10-06,1049.90454,1054.26526,1047.77869,1053.03711,0
2022-10-05,1044.09375,1054.08496,1038.38074,1051.203,0
2022-10-04,1038.92334,1048.65833,1037.12683,1046.08301,0
2022-10-03,1019.68958,1022.06439,1014.34711,1021.16602,0
2022-09-30,1010.20422,1018.27771,1004.08752,1004.17401,0
2022-09-29,1018.19049,1019.75311,1007.46289,1014.23297,0
2022-09-28,999.18951,1014.68878,997.02271,1014.20599,0
2022-09-27,999.03491,1005.20477,992.2934,994.01471,0
2022-09-26,1005.27307,1011.23071,987.46973,990.27081,0
2022-09-23,1012.59558,1012.59558,1005.17853,1007.70502,0
2022-09-22,1053.10461,1055.08105,1039.55872,1041.24304,0
2022-09-21,1054.3374,1055.29248,1038.58008,1042.03296,0
2022-09-20,1043.58081,1049.29138,1038.75342,1047.41602,0
2022-09-19,1029.26465,1045.36035,1028.46375,1044.84595,0
2022-09-16,1043.75281,1047.3219,1036.98425,1042.71802,0
2022-09-15,1043.62244,1044.78296,1043.35803,1044.78296,0
2022-09-14,1068.99463,1073.87634,1066.00208,1068.24304,0
2022-09-13,1069.39819,1075.30652,1059.97717,1067.69995,0
