datetime,open,high,low,close
2022-09-01,20052.74023,20201.17969,19580.23047,20123.44922
2022-08-31,19799.34961,20454.81055,19794.57031,20049.43945
2022-08-30,20295.17969,20558.46094,19553.07031,19802.89062
2022-08-29,19548.94922,20401.18945,19548.08984,20294.26953
2022-08-28,20033.63086,20151.59961,19525.56055,19541.75
2022-08-27,20253.85938,20360.86914,19852.4707,20033.63086
2022-08-26,21566.81055,21861.68945,20121.32031,20255.16992
2022-08-25,21366.51953,21803.57031,21317.24023,21565.08008
2022-08-24,21527.88086,21888.08008,21160.66992,21364.57031
2022-08-23,21414.24023,21666.09961,20899.33008,21518.89062
2022-08-22,21510.36914,21520.24023,20895.43945,21414.24023
2022-08-21,21138.86914,21716.14062,21073.01953,21510.36914
2022-08-20,20832.19922,21356.15039,20773.83984,21139.5293
2022-08-19,23198.08008,23204.96094,20813.7793,20835.89062
2022-08-18,23339.58984,23580.82031,23116.05078,23198.08008
2022-08-17,23857.33008,24430.07031,23184.40039,23340.06055
2022-08-16,24103.16992,24247.46094,23692.03906,23867.7207
2022-08-15,24316.25,25210.88086,23798.65039,24092.81055
2022-08-14,24455.18945,25034.2207,24160.41992,24312.42969
2022-08-13,24408.51953,24889.55078,24312.2793,24460.61914
2022-08-12,23947.84961,24456.71094,23623.84961,24408.51953
2022-08-11,23958.68945,24883.26953,23872.08984,23947.84961
2022-08-10,23154.08008,24212.4707,22690.33984,23962.14062
2022-08-09,23830.10938,23918.96094,22909.66992,23152.31055
2022-08-08,23180.48047,24247.50977,23168.05078,23830.10938
2022-08-07,22945.68945,23384.11914,22857.0,23180.48047
2022-08-06,23296.61914,23349.4707,22925.93945,22945.68945
2022-08-05,22615.44922,23463.16992,22597.14062,23296.61914
2022-08-04,22844.83008,23219.41016,22446.33008,22606.09961
2022-08-03,22995.08984,23612.99023,22720.0,22834.55078
2022-08-02,23290.09961,23444.75,22666.83008,22995.08984
2022-08-01,23316.81055,23494.96094,22867.5293,23290.09961
2022-07-31,23644.66992,24181.26953,23244.83984,23318.98047
2022-07-30,23785.18945,24605.16016,23520.09961,23644.66992
2022-07-29,23865.08008,24352.99023,23447.36914,23786.53906
2022-07-28,22958.38086,24202.4707,22615.01953,23861.25977
2022-07-27,21273.75977,23032.69922,21048.41016,22964.61914
2022-07-26,21312.69922,21330.35938,20730.16992,21273.75977
2022-07-25,22586.41016,22659.34961,21256.0,21312.69922
2022-07-24,22458.16992,23009.09961,22275.00977,22586.41016
2022-07-23,22681.28906,23000.26953,21952.06055,22458.16992
2022-07-22,23155.03906,23753.34961,22515.49023,22681.00977
2022-07-21,23216.05078,23414.4707,22352.94922,23140.7793
2022-07-20,23414.7207,24276.66016,22950.50977,23216.05078
2022-07-19,22488.75,23782.93945,21589.51953,23414.7207
2022-07-18,20778.81055,22762.11914,20766.80078,22519.26953
2022-07-17,21203.81055,21644.25,20752.96094,20778.81055
2022-07-16,20820.58008,21568.48047,20484.16016,21205.82031
2022-07-15,20574.55078,21184.33984,20375.50977,20820.58008
2022-07-14,20233.23047,20847.64062,19632.64062,20574.55078
2022-07-13,19316.28906,20246.46094,18921.61914,20233.23047
2022-07-12,19948.65039,20030.94922,19239.36914,19311.19922
